L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
92;PL010-0109;Komu może być udzielona licencja?;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 2 lub klasy 1;Osobie która ma ograniczone prawa publiczne;Osobie która nie posiada orzeczenia o braku przeciwwskazań do wykonywania funkcji członka personelu lotniczego;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3
93;PL010-0110;Komu może być udzielona licencja?;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 2 lub klasy 1;Osobie która ma ograniczone prawa publiczne;Osobie która nie spełnia wymagań i warunków dotyczących ukończenia szkolenia lotniczego;Osobie która nie spełnia wymogu wieku
94;PL010-0111;Konwencja Tokijska z 1963 r. dotyczy:;Przestępstw i niektórych innych czynów dokonywanych na pokładzie statków powietrznych;Ubezpieczeń lotniczych;Ścigania sprawców uprowadzenia statków powietrznych;Technicznych aspektów projektowania silników lotniczych
95;PL010-0112;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych jeżeli w wyniku badania incydentu lotniczego powstanie przypuszczenie, że członek personelu lotniczego nie posiada wymaganych wiadomości lub umiejętności?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
96;PL010-0113;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych jeżeli w wyniku badania wypadku lotniczego powstanie przypuszczenie, że członek personelu lotniczego nie posiada wymaganych wiadomości lub umiejętności?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
97;PL010-0114;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych jeżeli w wyniku wykonywania czynności nadzoru lotniczego powstanie przypuszczenie, że członek personelu lotniczego nie posiada wymaganych wiadomości lub umiejętności?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
98;PL010-0115;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych przed wydaniem licencji?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
99;PL010-0116;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych przed wydaniem uprawnienia lotniczego wpisywanego do licencji?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
100;PL010-0117;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych w celu przedłużenia ważności uprawnienia lotniczego?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
101;PL010-0118;Kto dokonuje sprawdzenia wiadomości i umiejętności lotniczych w celu wznowienia ważności uprawnienia lotniczego?;Prezes ULC;Minister Infrastruktury;Minister właściwy do spraw transportu;EASA
102;PL010-0119;Kto jest członkiem personelu lotniczego?;Jest to osoba posiadająca ważną licencję i wpisana do państwowego rejestru personelu lotniczego lub innego odpowiedniego rejestru prowadzonego zgodnie z odrębnymi przepisami;Jest to osoba posiadająca umiejętność wykonywania lotu statkiem powietrznym;Jest to właściciel lub użytkownik statku powietrznego;Jest to osoba będąca w trakcie szkolenia lotniczego odbywającego się zgodnie z przepisami wykonawczymi
103;PL010-0120;Kto jest członkiem personelu lotniczego?;Jest to osoba posiadająca ważne świadectwo kwalifikacji i jest wpisana do właściwego rejestru prowadzonego zgodnie z odrębnymi przepisami;Jest to osoba posiadająca umiejętność wykonywania lotu statkiem powietrznym;Jest to właściciel lub użytkownik statku powietrznego;Jest to osoba będąca w trakcie szkolenia lotniczego odbywającego się zgodnie z przepisami wykonawczymi
104;PL010-0121;Kto jest obowiązany do przejęcia osoby, zatrzymanej na pokładzie statku powietrznego, która jest podejrzana o popełnienie przestępstwa na tym statku powietrznym?;Organy Policji i Straży Granicznej;Zarządzający lotniskiem;Właściciel statku powietrznego na pokładzie którego miało miejsce dane zdarzenie;Użytkownik statku powietrznego na pokładzie którego miało miejsce dane zdarzenie
105;PL010-0122;Kto jest obowiązany do przejęcia osoby, zatrzymanej na pokładzie statku powietrznego, która zagraża bezpieczeństwu lotu?;Organy Policji i Straży Granicznej;Zarządzający lotniskiem;Właściciel statku powietrznego na pokładzie którego miało miejsce dane zdarzenie;Użytkownik statku powietrznego na pokładzie którego miało miejsce dane zdarzenie
106;PL010-0123;Kto jest obowiązany do przejęcia osoby, zatrzymanej na pokładzie statku powietrznego, która zagraża porządkowi na pokładzie statku powietrznego?;Organy Policji i Straży Granicznej;Zarządzający lotniskiem;Właściciel statku powietrznego na pokładzie którego miało miejsce dane zdarzenie;Użytkownik statku powietrznego na pokładzie którego miało miejsce dane zdarzenie
107;PL010-0124;Kto jest obowiązany przestrzegać warunków i ograniczeń ustalonych w świadectwie zdatności do lotu statku powietrznego i w dokumentach z nim związanych?;Użytkownik statku powietrznego, dowódca statku powietrznego oraz członkowie załogi statku powietrznego;Tylko użytkownik statku powietrznego;Tylko dowódca statku powietrznego;Tylko członkowie załogi statku powietrznego
108;PL010-0125;Kto jest uprawniony do wykonywania lotów?;Członkowie personelu lotniczego;Osoby znajdujące się na pokładzie statku powietrznego;Osoby znajdujące się w cockpicie statku powietrznego;Członkowie personelu pokładowego
109;PL010-0126;Kto jest uprawniony do wykonywania lotów?;Osoby uczestniczące w szkoleniu lotniczym prowadzonym zgodnie z przepisami wykonawczymi;Osoby znajdujące się na pokładzie statku powietrznego;Osoby znajdujące się w cockpicie statku powietrznego;Członkowie personelu pokładowego
110;PL010-0127;Kto może określić zasady wprowadzania przez państwowy organ zarządzania ruchem lotniczym ograniczeń lotów w części przestrzeni powietrznej, których czas trwania nie będzie dłuższy niż 3 miesiące, oraz sposób publikacji tych ograniczeń?;Minister właściwy do spraw transportu w porozumieniu z Ministrem Obrony Narodowej ministrami właściwymi do spraw wewnętrznych oraz środowiska;Prezes ULC;Minister właściwy do spraw transportu;Minister właściwy do spraw transportu w porozumieniu z Prezesem ULC
111;PL010-0128;Kto może wezwać statek powietrzny do wylądowania na wskazanym lotnisku lub wykonania innych poleceń?;Cywilnych organów służb ruchu lotniczego oraz wojskowych organów służby ruchu lotniczego;Tylko cywilnych organów służb ruchu lotniczego;Tylko wojskowych organów służby ruchu lotniczegoo;Prezez ULC
112;PL010-0129;Kto przeprowadza badania lotniczo- lekarskie i wydaje orzeczenia o istnieniu lub braku przeciwwskazań zdrowotnych do wykonywania funkcji członka personelu lotniczego?;Centra medycyny lotniczej;Prezes ULC;Minister właściwy do spraw transportu;Naczelny Lekarz Lotnictwa Cywilnego
113;PL010-0130;Kto przeprowadza badania lotniczo- lekarskie i wydaje orzeczenia o istnieniu lub braku przeciwwskazań zdrowotnych do wykonywania funkcji członka personelu lotniczego?;Lekarze orzecznicy;Prezes ULC;Minister właściwy do spraw transportu;Naczelny Lekarz Lotnictwa Cywilnego
114;PL010-0131;Kto stanowi załogę statku powietrznego?;Są to osoby wyznaczone przez użytkownika statku powietrznego do wykonania określonych czynności na statku powietrznym w czasie lotu;Są to osoby, które posiadają odpowiednie uprawnienia;Są to osoby, które posiadają ważne licencje członków personelu lotniczego;Są to osoby, które znajdują się w cockpicie statku powietrznego
115;PL010-0132;Kto w imieniu centrum medycyny lotniczej przeprowadza badania lotniczo- lekarskie i wydaje orzeczenia?;Komisja lekarska centrum medycyny lotniczej złożona z lekarzy orzeczników oraz specjalistów z zakresu medycyny;Naczelny Lekarz Lotnictwa Cywilnego;Osoba delegowana przez Prezesa ULC;Osoba delegowana przez ministra właściwego do spraw transportu
116;PL010-0133;Kto wydaje, odmawia wydania, uznaje, zawiesza uznanie, przywraca uznanie, odmawia uznania, cofa uznanie, cofa, zawiesza, przywraca i zmienia licencje?;Prezes ULC;Minister właściwy do spraw transportu;Minister Komunikacji;Przewodniczący Lotniczej Komisji Egzaminacyjnej
117;PL010-0143;Lot VFR dzienny na statku powietrznym innym niż śmigłowiec w przestrzeni klasy G na i poniżej 900 m AMSL lub 300 m AGL, jeśli jest wyższe, może być wykonany:;Przy zmniejszeniu widzialności w locie do 1500 m – z prędkościami, przy których będzie wystarczająco zapewniona możliwość zauważenia we właściwym czasie innego ruchu lub jakichkolwiek przeszkód, aby uniknąć kolizji;Przy widzialności większej niż 5 km;Przy pułapie chmur większym niż 300 m;Przy widzialności mniejszej niż 1500 m – po spełnieniu określonych warunków
118;PL010-0144;Lot VFR dzienny w przestrzeni klasy G na i poniżej 900 m AMSL lub 300 m AGL, jeśli jest wyższe, może być wykonany tylko:;Z dala od chmur i z widocznością powierzchni ziemi;Przy widzialności większej niż 5 km;Przy pułapie chmur większym niż 300 m;Z prędkością maksymalną 300 kt TAS
119;PL010-0146;Lot VFR poniżej FL 100 w przestrzeni powietrznej klasy C może być wykonany, jeżeli odległość pionowa od chmur jest nie mniejsza niż:;300 m;100 m;500 m;Nieokreślona – z dala od chmur
120;PL010-0147;Lot VFR poniżej FL 100 w przestrzeni powietrznej klasy C może być wykonany, jeżeli odległość pozioma od chmur jest nie mniejsza niż:;1500 m;2 km;5 km;Nieokreślona – z dala od chmur
121;PL010-0148;Lot VFR poniżej FL 100 w przestrzeni powietrznej klasy C może być wykonany, jeżeli widzialność w locie jest nie mniejsza niż:;5 km;1500 m;8 km;10 km
122;PL010-0150;Lot VFR w przestrzeni powietrznej klasy G poniżej FL 100, ale powyżej 900 m AMSL lub 300 m AGL, jeśli jest wyższe, może być wykonany, jeżeli odległość pionowa od chmur jest nie mniejsza niż:;300 m;100 m;500 m;Nieokreślona – z dala od chmur
123;PL010-0151;Lot VFR w przestrzeni powietrznej klasy G poniżej FL 100, ale powyżej 900 m AMSL lub 300 m AGL, jeśli jest wyższe, może być wykonany, jeżeli odległość pozioma od chmur jest nie mniejsza niż:;1500 m;2 km;5 km;Nieokreślona – z dala od chmur
124;PL010-0152;Lot VFR w przestrzeni powietrznej klasy G poniżej FL 100, ale powyżej 900 m AMSL lub 300 m AGL, jeśli jest wyższe, może być wykonany, jeżeli widzialność w locie jest nie mniejsza niż:;5 km;1500 m;8 km;Mniejsza niż 5 km, ale nie mniejsza niż 1500 m
125;PL010-0153;Loty nocne VFR mogą być wykonywane o ile pułap chmur nie może wynosić mniej niż:;450 m (1500 ft);300 m (1000 ft);600 m (2000 ft);900 m (3000 m)
126;PL010-0154;Loty statków powietrznych w strefie niebezpiecznej są:;Dozwolone tylko wtedy, gdy strefa jest nieaktywna i po uzyskaniu zezwolenia w łaściwego organu wojskowych służb ruchu lotniczego;Zabronione;Dozwolone tylko wtedy, gdy lot odbywa się w VMC i w strefie nie ma innych statków powietrznych;Dozwolone tylko wtedy, gdy pilot może utrzymać kontakt wzrokowy z terenem
127;PL010-0155;Loty statków powietrznych w strefie ograniczonej są:;Dozwolone tylko wtedy, gdy lot nie narusza obowiązujących w tej strefie ograniczeń lub uzyska się zezwolenie od właściwego organu służby ruchu lotniczego;Zabronione;Dozwolone tylko wtedy, gdy lot odbywa się w VMC i w strefie nie ma innych statków powietrznych;Dozwolone tylko wtedy, gdy strefa jest nieaktywna
128;PL010-0156;Loty statków powietrznych w strefie zakazanej są:;Zabronione;Dozwolone tylko wtedy, gdy strefa jest nieaktywna i po uzyskaniu zezwolenia właściwego organu wojskowych służb ruchu lotniczego;Dozwolone tylko wtedy, gdy lot odbywa się w VMC i w strefie nie ma innych statków powietrznych;Dozwolone tylko wtedy, gdy pilot może utrzymać kontakt wzrokowy z terenem
129;PL010-0157;MATZ jest to:;Wojskowa strefa ruchu lotniskowego;Strefa identyfikacji obrony powietrznej;Wojskowy obszar kontrolowany;Wojskowa strefa kontrolowana lotniska
130;PL010-0158;MRT jest to:;Stała trasa lotnictwa wojskowego;Trasa lotnicza umożliwiająca przeloty pomiędzy TSA i lub TRA;Rejon kontrolowany lotniska;Wojskowa strefa ruchu lotniskowego
131;PL010-0159;Na czym polega zarządzanie przepływem ruchu lotniczego?;Na optymalizacji natężenia ruchu lotniczego;Na przydziale odpowiednich elementów przestrzeni powietrznej poszczególnym jej użytkownikom;Na zapewnieniu alarmowej służby ruchu lotniczego;Na zapewnieniu służby kontroli ruchu lotniczego oraz służby informacji powietrznej
132;PL010-0160;Służba ustanowiona w celu przyczyniania się do bezpiecznego, uporządkowa-nego i szybkiego przepływu ruchu lotniczego poprzez zapewnianie wykorzystania w maksymalnym stopniu pojemności ATC to?;ATFM;RNAV;ALERFA;ATIS
133;PL010-0161;Na czym polega zarządzanie przestrzenią powietrzną?;Na przydziale odpowiednich elementów przestrzeni powietrznej poszczególnym jej użytkownikom;Na optymalizacji natężenia ruchu lotniczego;Na zapewnieniu alarmowej służby ruchu lotniczego;Na zapewnieniu służby kontroli ruchu lotniczego oraz służby informacji powietrznej
134;PL010-0162;Jaka jest nazwa organu ustanowionego do zapewnienia służby kontroli ruchu lotniczego w odniesieniu do lotów kontrolowanych w podległych mu obszarach kontrolowanych?;Ośrodek kontroli obszaru (ACC);Nawigacja obszarowa (RNAV);Ruchoma służba lotnicza;SSR
135;PL010-0163;Od czego zależy korzystanie z uprawnień wynikających z licencji?;Od ważności uprawnień zawartych w licencji;Od wieku członka personelu lotniczego;Od opłaty lotniczej;Od kwoty opłaty lotniczej
136;PL010-0164;Na jakich prawach jest dostępna polska przestrzeń powietrzna?;Na równych prawach dla jej wszystkich użytkowników;Na równych prawach ale tylko dla polskich użytkowników;Pierwszeństwo mają wojskowe statki powietrzne;Pierwszeństwo mają cywilne statki powietrzne
137;PL010-0170;Od czego jest uzależniona ważność licencji?;Od wyniku okresowego sprawdzenia sprawności psychicznej i fizycznej członka personelu lotniczego stwierdzonej w badaniach lotniczo- lekarskich;Od opłacenia sładek członkowskich w organizacji lotniczej do której się należy;Od korzystania z pełni praw publicznych;Od wysokości opłaty lotniczej za licencję
138;PL010-0171;Od czego jest uzależniona ważność licencji?;Od utrzymania w okresie ważności licencji wiadomości i umiejętności nie mniejszych niż wymagane do uzyskania;Od opłacenia sładek członkowskich w organizacji lotniczej do której się należy;Od korzystania z pełni praw publicznych;Od wysokości opłaty lotniczej za licencję
139;PL010-0172;Orzeczenie lotniczo-lekarskie wydane dla osoby poniżej 40 roku życia w zakresie wymagań zdrowotnych dla Klasy 2 posiada ważność?;60 miesięcy;12 miesięcy;24 miesiące;18 miesięcy
140;PL010-0173;Orzeczenie lotniczo-lekarskie wydane dla osoby poniżej 50 roku życia w zakresie wymagań zdrowotnych dla Klasy 2 posiada ważność?;24 miesiące;12 miesięcy;60 miesięcy;18 miesięcy
141;PL010-0174;Orzeczenie lotniczo-lekarskie wydane dla osoby poniżej 50 roku życia w zakresie wymagań zdrowotnych dla Klasy 2 posiada ważność?;24 miesiące;12 miesięcy;18 miesięcy;6 miesięcy
142;PL010-0176;Osoba której licencja została cofnięta ma obowiązek?;Niezwłocznie przekazać ją Prezesowi ULC za pokwitowaniem, chyba że licencja została już uprzednio zatrzymana;Nie ma żadnego obowiązku;Niezwłocznie zniszczyć druk licencji;Nie używać licencji
143;PL010-0177;Osoba której licencja została zawieszona ma obowiązek?;Niezwłocznie przekazać ją Prezesowi ULC za pokwitowaniem, chyba że licencja została już uprzednio zatrzymana;Nie ma żadnego obowiązku;Niezwłocznie zniszczyć druk licencji;Nie używać licencji
